row,column,well,type,flask,mM formaldehyde
A,1,A1,sample,A,NA
A,2,A2,sample,B,NA
A,3,A3,sample,C,NA
A,4,A4,sample,D,NA
A,5,A5,sample,E,NA
A,6,A6,sample,F,NA
A,7,A7,sample,G,NA
A,8,A8,sample,H,NA
A,9,A9,sample,I,NA
B,1,B1,sample,A,NA
B,2,B2,sample,B,NA
B,3,B3,sample,C,NA
B,4,B4,sample,D,NA
B,5,B5,sample,E,NA
B,6,B6,sample,F,NA
B,7,B7,sample,G,NA
B,8,B8,sample,H,NA
B,9,B9,sample,I,NA
C,1,C1,sample,A,NA
C,2,C2,sample,B,NA
C,3,C3,sample,C,NA
C,4,C4,sample,D,NA
C,5,C5,sample,E,NA
C,6,C6,sample,F,NA
C,7,C7,sample,G,NA
C,8,C8,sample,H,NA
C,9,C9,sample,I,NA
E,3,E3,standard,NA,0
E,4,E4,standard,NA,0.625
E,5,E5,standard,NA,1.25
E,6,E6,standard,NA,2.5
E,7,E7,standard,NA,5
E,8,E8,standard,NA,10
F,3,F3,standard,NA,0
F,4,F4,standard,NA,0.625
F,5,F5,standard,NA,1.25
F,6,F6,standard,NA,2.5
F,7,F7,standard,NA,5
F,8,F8,standard,NA,10
G,3,G3,standard,NA,0
G,4,G4,standard,NA,0.625
G,5,G5,standard,NA,1.25
G,6,G6,standard,NA,2.5
G,7,G7,standard,NA,5
G,8,G8,standard,NA,10