time,flask,HCHO_in_plate,rep,cellcounts
0,A,0,A,4272727.273
0,A,0,B,4272727.273
0,A,0,C,3727272.727
0,A,2,A,190909.0909
0,A,2,B,245454.5455
0,A,2,C,254545.4545
0,A,4,A,2727.272727
0,A,4,B,2727.272727
0,A,4,C,3727.272727
0,B,0,A,6454545.455
0,B,0,B,10909090.91
0,B,0,C,9090909.091
0,B,2,A,372727.2727
0,B,2,B,400000
0,B,2,C,327272.7273
0,B,4,A,2636.363636
0,B,4,B,3636.363636
0,B,4,C,2727.272727
0,C,0,A,13636363.64
0,C,0,B,12727272.73
0,C,0,C,11818181.82
0,C,2,A,1181818.182
0,C,2,B,454545.4545
0,C,2,C,400000
0,C,4,A,6363.636364
0,C,4,B,5454.545455
0,C,4,C,7272.727273
0,D,0,A,5454545.455
0,D,0,B,11818181.82
0,D,0,C,6363636.364
0,D,2,A,309090.9091
0,D,2,B,409090.9091
0,D,2,C,909090.9091
0,D,4,A,3636.363636
0,D,4,B,5454.545455
0,D,4,C,10909.09091
0,E,0,A,16363636.36
0,E,0,B,10909090.91
0,E,0,C,12727272.73
0,E,2,A,1000000
0,E,2,B,363636.3636
0,E,2,C,454545.4545
0,E,4,A,11818.18182
0,E,4,B,10909.09091
0,E,4,C,4818.181818
0,F,0,A,13636363.64
0,F,0,B,8181818.182
0,F,0,C,10000000
0,F,2,A,636363.6364
0,F,2,B,818181.8182
0,F,2,C,909090.9091
0,F,4,A,5545.454545
0,F,4,B,8181.818182
0,F,4,C,8181.818182
0,G,0,A,8181818.182
0,G,0,B,16363636.36
0,G,0,C,10909090.91
0,G,2,A,318181.8182
0,G,2,B,218181.8182
0,G,2,C,218181.8182
0,G,4,A,5454.545455
0,G,4,B,7272.727273
0,G,4,C,3727.272727
0,H,0,A,20909090.91
0,H,0,B,12727272.73
0,H,0,C,11818181.82
0,H,2,A,190909.0909
0,H,2,B,227272.7273
0,H,2,C,227272.7273
0,H,4,A,3545.454545
0,H,4,B,3636.363636
0,H,4,C,8181.818182
0,I,0,A,12727272.73
0,I,0,B,18181818.18
0,I,0,C,13636363.64
0,I,2,A,263636.3636
0,I,2,B,263636.3636
0,I,2,C,190909.0909
0,I,4,A,7272.727273
0,I,4,B,9090.909091
0,I,4,C,4545.454545
1.5,A,0,A,4090909.091
1.5,A,0,B,2636363.636
1.5,A,0,C,3727272.727
1.5,A,2,A,2727272.727
1.5,A,2,B,2181818.182
1.5,A,2,C,3454545.455
1.5,A,4,A,3636.363636
1.5,A,4,B,909.0909091
1.5,A,4,C,3818.181818
1.5,B,0,A,1909090.909
1.5,B,0,B,3090909.091
1.5,B,0,C,3000000
1.5,B,2,A,2181818.182
1.5,B,2,B,1818181.818
1.5,B,2,C,2545454.545
1.5,B,4,A,3363.636364
1.5,B,4,B,4545.454545
1.5,B,4,C,3636.363636
1.5,C,0,A,3727272.727
1.5,C,0,B,2636363.636
1.5,C,0,C,3090909.091
1.5,C,2,A,2727272.727
1.5,C,2,B,2181818.182
1.5,C,2,C,2545454.545
1.5,C,4,A,2727.272727
1.5,C,4,B,5454.545455
1.5,C,4,C,4363.636364
1.5,D,0,A,3363636.364
1.5,D,0,B,3909090.909
1.5,D,0,C,3636363.636
1.5,D,2,A,636363.6364
1.5,D,2,B,1000000
1.5,D,2,C,727272.7273
1.5,D,4,A,5727.272727
1.5,D,4,B,2727.272727
1.5,D,4,C,7272.727273
1.5,E,0,A,3181818.182
1.5,E,0,B,2454545.455
1.5,E,0,C,3090909.091
1.5,E,2,A,727272.7273
1.5,E,2,B,727272.7273
1.5,E,2,C,818181.8182
1.5,E,4,A,4545.454545
1.5,E,4,B,6363.636364
1.5,E,4,C,5181.818182
1.5,F,0,A,2545454.545
1.5,F,0,B,2545454.545
1.5,F,0,C,3818181.818
1.5,F,2,A,1090909.091
1.5,F,2,B,1090909.091
1.5,F,2,C,636363.6364
1.5,F,4,A,3909.090909
1.5,F,4,B,8181.818182
1.5,F,4,C,1818.181818
1.5,G,0,A,3545454.545
1.5,G,0,B,2454545.455
1.5,G,0,C,3090909.091
1.5,G,2,A,14545.45455
1.5,G,2,B,20909.09091
1.5,G,2,C,21818.18182
1.5,G,4,A,2727.272727
1.5,G,4,B,1818.181818
1.5,G,4,C,363.6363636
1.5,H,0,A,2636363.636
1.5,H,0,B,2090909.091
1.5,H,0,C,1909090.909
1.5,H,2,A,23636.36364
1.5,H,2,B,20909.09091
1.5,H,2,C,16363.63636
1.5,H,4,A,1000
1.5,H,4,B,2727.272727
1.5,H,4,C,1818.181818
1.5,I,0,A,3181818.182
1.5,I,0,B,2818181.818
1.5,I,0,C,2636363.636
1.5,I,2,A,20909.09091
1.5,I,2,B,26363.63636
1.5,I,2,C,26363.63636
1.5,I,4,A,909.0909091
1.5,I,4,B,1818.181818
1.5,I,4,C,1000
5.5,A,0,A,10909090.91
5.5,A,0,B,7272727.273
5.5,A,0,C,10909090.91
5.5,A,2,A,7272727.273
5.5,A,2,B,10000000
5.5,A,2,C,8181818.182
5.5,A,4,A,18181.81818
5.5,A,4,B,17272.72727
5.5,A,4,C,16363.63636
5.5,B,0,A,11818181.82
5.5,B,0,B,8181818.182
5.5,B,0,C,11818181.82
5.5,B,2,A,5454545.455
5.5,B,2,B,5454545.455
5.5,B,2,C,9090909.091
5.5,B,4,A,33636.36364
5.5,B,4,B,34545.45455
5.5,B,4,C,31818.18182
5.5,C,0,A,12727272.73
5.5,C,0,B,3636363.636
5.5,C,0,C,8181818.182
5.5,C,2,A,9090909.091
5.5,C,2,B,6363636.364
5.5,C,2,C,6363636.364
5.5,C,4,A,10909.09091
5.5,C,4,B,12727.27273
5.5,C,4,C,12727.27273
5.5,D,0,A,2181818.182
5.5,D,0,B,3454545.455
5.5,D,0,C,3454545.455
5.5,D,2,A,2272727.273
5.5,D,2,B,1818181.818
5.5,D,2,C,2272727.273
5.5,D,4,A,454545.4545
5.5,D,4,B,545454.5455
5.5,D,4,C,518181.8182
5.5,E,0,A,3818181.818
5.5,E,0,B,3272727.273
5.5,E,0,C,4818181.818
5.5,E,2,A,2545454.545
5.5,E,2,B,3272727.273
5.5,E,2,C,3363636.364
5.5,E,4,A,727272.7273
5.5,E,4,B,909090.9091
5.5,E,4,C,818181.8182
5.5,F,0,A,2818181.818
5.5,F,0,B,3909090.909
5.5,F,0,C,3818181.818
5.5,F,2,A,2636363.636
5.5,F,2,B,1818181.818
5.5,F,2,C,2545454.545
5.5,F,4,A,1181818.182
5.5,F,4,B,909090.9091
5.5,F,4,C,636363.6364
5.5,G,0,A,1000000
5.5,G,0,B,1090909.091
5.5,G,0,C,1909090.909
5.5,G,2,A,909.0909091
5.5,G,2,B,3636.363636
5.5,G,2,C,909.0909091
5.5,G,4,A,909.0909091
5.5,G,4,B,0
5.5,G,4,C,272.7272727
5.5,H,0,A,1454545.455
5.5,H,0,B,1272727.273
5.5,H,0,C,1272727.273
5.5,H,2,A,1000
5.5,H,2,B,3636.363636
5.5,H,2,C,909.0909091
5.5,H,4,A,0
5.5,H,4,B,90.90909091
5.5,H,4,C,909.0909091
5.5,I,0,A,2000000
5.5,I,0,B,1363636.364
5.5,I,0,C,1909090.909
5.5,I,2,A,0
5.5,I,2,B,0
5.5,I,2,C,727.2727273
5.5,I,4,A,1818.181818
5.5,I,4,B,1818.181818
5.5,I,4,C,181.8181818
8,A,0,A,14545454.55
8,A,0,B,20000000
8,A,0,C,20909090.91
8,A,2,A,8181818.182
8,A,2,B,8181818.182
8,A,2,C,12727272.73
8,A,4,A,1818.181818
8,A,4,B,909.0909091
8,A,4,C,909.0909091
8,B,0,A,19090909.09
8,B,0,B,19090909.09
8,B,0,C,19090909.09
8,B,2,A,10000000
8,B,2,B,10000000
8,B,2,C,15454545.45
8,B,4,A,1545.454545
8,B,4,B,1818.181818
8,B,4,C,0
8,C,0,A,28181818.18
8,C,0,B,21818181.82
8,C,0,C,14545454.55
8,C,2,A,8181818.182
8,C,2,B,12727272.73
8,C,2,C,7272727.273
8,C,4,A,36363.63636
8,C,4,B,13636.36364
8,C,4,C,20000
8,D,0,A,5454545.455
8,D,0,B,5454545.455
8,D,0,C,4545454.545
8,D,2,A,3545454.545
8,D,2,B,4818181.818
8,D,2,C,7272727.273
8,D,4,A,1090909.091
8,D,4,B,1363636.364
8,D,4,C,727272.7273
8,E,0,A,6363636.364
8,E,0,B,4909090.909
8,E,0,C,10000000
8,E,2,A,3545454.545
8,E,2,B,3818181.818
8,E,2,C,4272727.273
8,E,4,A,727272.7273
8,E,4,B,1090909.091
8,E,4,C,909090.9091
8,F,0,A,9090909.091
8,F,0,B,5363636.364
8,F,0,C,9090909.091
8,F,2,A,4545454.545
8,F,2,B,4000000
8,F,2,C,4272727.273
8,F,4,A,1363636.364
8,F,4,B,818181.8182
8,F,4,C,1090909.091
8,G,0,A,1181818.182
8,G,0,B,1000000
8,G,0,C,1090909.091
8,G,2,A,0
8,G,2,B,2727.272727
8,G,2,C,454.5454545
8,G,4,A,90.90909091
8,G,4,B,909.0909091
8,G,4,C,0
8,H,0,A,363636.3636
8,H,0,B,1181818.182
8,H,0,C,909090.9091
8,H,2,A,272.7272727
8,H,2,B,909.0909091
8,H,2,C,0
8,H,4,A,545.4545455
8,H,4,B,909.0909091
8,H,4,C,0
8,I,0,A,1454545.455
8,I,0,B,909090.9091
8,I,0,C,818181.8182
8,I,2,A,545.4545455
8,I,2,B,1818.181818
8,I,2,C,0
8,I,4,A,90.90909091
8,I,4,B,909.0909091
8,I,4,C,0
16.5,A,0,A,45454545.45
16.5,A,0,B,90909090.91
16.5,A,0,C,127272727.3
16.5,A,2,A,54545454.55
16.5,A,2,B,53636363.64
16.5,A,2,C,49090909.09
16.5,A,4,A,1818.181818
16.5,A,4,B,7272.727273
16.5,A,4,C,4000
16.5,B,0,A,90909090.91
16.5,B,0,B,127272727.3
16.5,B,0,C,109090909.1
16.5,B,2,A,35454545.45
16.5,B,2,B,32727272.73
16.5,B,2,C,36363636.36
16.5,B,4,A,10000
16.5,B,4,B,17272.72727
16.5,B,4,C,10909.09091
16.5,C,0,A,90909090.91
16.5,C,0,B,154545454.5
16.5,C,0,C,63636363.64
16.5,C,2,A,45454545.45
16.5,C,2,B,50000000
16.5,C,2,C,45454545.45
16.5,C,4,A,8181.818182
16.5,C,4,B,11818.18182
16.5,C,4,C,11818.18182
16.5,D,0,A,20000000
16.5,D,0,B,18181818.18
16.5,D,0,C,37272727.27
16.5,D,2,A,23636363.64
16.5,D,2,B,21818181.82
16.5,D,2,C,14545454.55
16.5,D,4,A,90909.09091
16.5,D,4,B,72727.27273
16.5,D,4,C,81818.18182
16.5,E,0,A,30000000
16.5,E,0,B,25454545.45
16.5,E,0,C,34545454.55
16.5,E,2,A,30000000
16.5,E,2,B,30909090.91
16.5,E,2,C,29090909.09
16.5,E,4,A,90909.09091
16.5,E,4,B,118181.8182
16.5,E,4,C,154545.4545
16.5,F,0,A,32727272.73
16.5,F,0,B,34545454.55
16.5,F,0,C,22727272.73
16.5,F,2,A,29090909.09
16.5,F,2,B,26363636.36
16.5,F,2,C,22727272.73
16.5,F,4,A,40909.09091
16.5,F,4,B,31818.18182
16.5,F,4,C,20000
16.5,G,0,A,7272.727273
16.5,G,0,B,8181.818182
16.5,G,0,C,4545.454545
16.5,G,2,A,3636.363636
16.5,G,2,B,3636.363636
16.5,G,2,C,2272.727273
16.5,G,4,A,1818.181818
16.5,G,4,B,2727.272727
16.5,G,4,C,1909.090909
16.5,H,0,A,15454.54545
16.5,H,0,B,10909.09091
16.5,H,0,C,7272.727273
16.5,H,2,A,2363.636364
16.5,H,2,B,1272.727273
16.5,H,2,C,3636.363636
16.5,H,4,A,818.1818182
16.5,H,4,B,4545.454545
16.5,H,4,C,1818.181818
16.5,I,0,A,7272.727273
16.5,I,0,B,7272.727273
16.5,I,0,C,10000
16.5,I,2,A,2727.272727
16.5,I,2,B,909.0909091
16.5,I,2,C,2363.636364
16.5,I,4,A,1363.636364
16.5,I,4,B,1818.181818
16.5,I,4,C,909.0909091
16.5,D.1,0,A,25454545.45
16.5,D.1,0,B,32727272.73
16.5,D.1,0,C,32727272.73
16.5,D.1,2,A,25454545.45
16.5,D.1,2,B,30000000
16.5,D.1,2,C,23636363.64
16.5,D.1,4,A,44545.45455
16.5,D.1,4,B,46363.63636
16.5,D.1,4,C,48181.81818
16.5,E.1,0,A,37272727.27
16.5,E.1,0,B,29090909.09
16.5,E.1,0,C,26363636.36
16.5,E.1,2,A,29090909.09
16.5,E.1,2,B,29090909.09
16.5,E.1,2,C,24545454.55
16.5,E.1,4,A,381818.1818
16.5,E.1,4,B,318181.8182
16.5,E.1,4,C,345454.5455
16.5,F.1,0,A,26363636.36
16.5,F.1,0,B,30000000
16.5,F.1,0,C,33636363.64
16.5,F.1,2,A,33636363.64
16.5,F.1,2,B,30909090.91
16.5,F.1,2,C,29090909.09
16.5,F.1,4,A,263636.3636
16.5,F.1,4,B,209090.9091
16.5,F.1,4,C,181818.1818
17.5,D.1,0,A,27272727.27
17.5,D.1,0,B,20909090.91
17.5,D.1,0,C,19090909.09
17.5,D.1,2,A,20909090.91
17.5,D.1,2,B,28181818.18
17.5,D.1,2,C,20000000
17.5,D.1,4,A,218181.8182
17.5,D.1,4,B,236363.6364
17.5,D.1,4,C,281818.1818
17.5,E.1,0,A,24545454.55
17.5,E.1,0,B,27272727.27
17.5,E.1,0,C,19090909.09
17.5,E.1,2,A,27272727.27
17.5,E.1,2,B,21818181.82
17.5,E.1,2,C,14545454.55
17.5,E.1,4,A,118181.8182
17.5,E.1,4,B,118181.8182
17.5,E.1,4,C,145454.5455
17.5,F.1,0,A,26363636.36
17.5,F.1,0,B,31818181.82
17.5,F.1,0,C,20000000
17.5,F.1,2,A,20909090.91
17.5,F.1,2,B,21818181.82
17.5,F.1,2,C,21818181.82
17.5,F.1,4,A,13636.36364
17.5,F.1,4,B,15454.54545
17.5,F.1,4,C,20909.09091
20.5,A,0,A,290909090.9
20.5,A,0,B,245454545.5
20.5,A,0,C,272727272.7
20.5,A,2,A,136363636.4
20.5,A,2,B,254545454.5
20.5,A,2,C,163636363.6
20.5,A,4,A,21818.18182
20.5,A,4,B,20909.09091
20.5,A,4,C,21818.18182
20.5,B,0,A,236363636.4
20.5,B,0,B,245454545.5
20.5,B,0,C,272727272.7
20.5,B,2,A,163636363.6
20.5,B,2,B,227272727.3
20.5,B,2,C,172727272.7
20.5,B,4,A,63636.36364
20.5,B,4,B,72727.27273
20.5,B,4,C,72727.27273
20.5,C,0,A,290909090.9
20.5,C,0,B,272727272.7
20.5,C,0,C,300000000
20.5,C,2,A,236363636.4
20.5,C,2,B,163636363.6
20.5,C,2,C,163636363.6
20.5,C,4,A,381818.1818
20.5,C,4,B,545454.5455
20.5,C,4,C,327272.7273
20.5,D,0,A,63636363.64
20.5,D,0,B,63636363.64
20.5,D,0,C,81818181.82
20.5,D,2,A,72727272.73
20.5,D,2,B,41818181.82
20.5,D,2,C,45454545.45
20.5,D,4,A,418181.8182
20.5,D,4,B,372727.2727
20.5,D,4,C,1181818.182
20.5,E,0,A,72727272.73
20.5,E,0,B,63636363.64
20.5,E,0,C,27272727.27
20.5,E,2,A,45454545.45
20.5,E,2,B,90909090.91
20.5,E,2,C,54545454.55
20.5,E,4,A,636363.6364
20.5,E,4,B,636363.6364
20.5,E,4,C,1000000
20.5,F,0,A,81818181.82
20.5,F,0,B,63636363.64
20.5,F,0,C,145454545.5
20.5,F,2,A,81818181.82
20.5,F,2,B,127272727.3
20.5,F,2,C,90909090.91
20.5,F,4,A,818181.8182
20.5,F,4,B,909090.9091
20.5,F,4,C,390909.0909
20.5,G,0,A,8181.818182
20.5,G,0,B,4545.454545
20.5,G,0,C,3454.545455
20.5,G,2,A,1818.181818
20.5,G,2,B,2727.272727
20.5,G,2,C,4000
20.5,G,4,A,5454.545455
20.5,G,4,B,1818.181818
20.5,G,4,C,3000
20.5,H,0,A,3090.909091
20.5,H,0,B,2727.272727
20.5,H,0,C,3636.363636
20.5,H,2,A,2909.090909
20.5,H,2,B,4545.454545
20.5,H,2,C,1818.181818
20.5,H,4,A,2272.727273
20.5,H,4,B,2727.272727
20.5,H,4,C,2727.272727
20.5,I,0,A,6363.636364
20.5,I,0,B,4545.454545
20.5,I,0,C,3636.363636
20.5,I,2,A,3636.363636
20.5,I,2,B,4545.454545
20.5,I,2,C,4909.090909
20.5,I,4,A,3636.363636
20.5,I,4,B,5454.545455
20.5,I,4,C,3636.363636
20.5,D.1,0,A,47272727.27
20.5,D.1,0,B,45454545.45
20.5,D.1,0,C,36363636.36
20.5,D.1,2,A,44545454.55
20.5,D.1,2,B,45454545.45
20.5,D.1,2,C,40000000
20.5,D.1,4,A,309090.9091
20.5,D.1,4,B,300000
20.5,D.1,4,C,190909.0909
20.5,E.1,0,A,32727272.73
20.5,E.1,0,B,36363636.36
20.5,E.1,0,C,36363636.36
20.5,E.1,2,A,37272727.27
20.5,E.1,2,B,35454545.45
20.5,E.1,2,C,30909090.91
20.5,E.1,4,A,181818.1818
20.5,E.1,4,B,200000
20.5,E.1,4,C,218181.8182
20.5,F.1,0,A,63636363.64
20.5,F.1,0,B,81818181.82
20.5,F.1,0,C,44545454.55
20.5,F.1,2,A,36363636.36
20.5,F.1,2,B,54545454.55
20.5,F.1,2,C,40000000
20.5,F.1,4,A,136363.6364
20.5,F.1,4,B,90909.09091
20.5,F.1,4,C,63636.36364
24.5,D,0,A,118181818.2
24.5,D,0,B,118181818.2
24.5,D,0,C,145454545.5
24.5,D,2,A,90909090.91
24.5,D,2,B,81818181.82
24.5,D,2,C,118181818.2
24.5,D,4,A,218181.8182
24.5,D,4,B,336363.6364
24.5,D,4,C,281818.1818
24.5,E,0,A,118181818.2
24.5,E,0,B,154545454.5
24.5,E,0,C,118181818.2
24.5,E,2,A,109090909.1
24.5,E,2,B,163636363.6
24.5,E,2,C,118181818.2
24.5,E,4,A,209090.9091
24.5,E,4,B,263636.3636
24.5,E,4,C,254545.4545
24.5,F,0,A,218181818.2
24.5,F,0,B,172727272.7
24.5,F,0,C,190909090.9
24.5,F,2,A,145454545.5
24.5,F,2,B,200000000
24.5,F,2,C,154545454.5
24.5,F,4,A,236363.6364
24.5,F,4,B,145454.5455
24.5,F,4,C,145454.5455
24.5,G,0,A,5272.727273
24.5,G,0,B,9090.909091
24.5,G,0,C,7272.727273
24.5,G,2,A,6090.909091
24.5,G,2,B,4545.454545
24.5,G,2,C,3636.363636
24.5,G,4,A,5272.727273
24.5,G,4,B,6363.636364
24.5,G,4,C,1818.181818
24.5,H,0,A,6000
24.5,H,0,B,8181.818182
24.5,H,0,C,2727.272727
24.5,H,2,A,2727.272727
24.5,H,2,B,4545.454545
24.5,H,2,C,3181.818182
24.5,H,4,A,4363.636364
